first,second
"(""C6-removal_obligation"", ""Total_net_emissions"")","[15.439499999999997, 16.855605, 14.774100000000004, 16.944989999999994, 13.897799999999997, 17.109539999999996, 15.551099999999996, 16.849214999999997, 14.952300000000001, 16.932659999999995, 14.148900000000001, 17.085780000000003, 15.659999999999997, 16.862894999999998, 15.1071, 16.936845, 14.370600000000001, 17.088059999999995, 14.806799999999996, 16.94115, 13.719899999999999, 17.120324999999994, 12.401399999999999, 17.37111, 14.909699999999994, 16.915934999999998, 13.90139999999999, 17.085644999999996, 12.639000000000001, 17.325615000000006, 15.001800000000001, 16.90161, 14.052299999999997, 17.057265, 12.830699999999997, 17.278320000000004, 14.2254, 17.031554999999997, 12.7047, 17.299695, 11.118899999999998, 17.585669999999997, 14.321099999999998, 17.026905000000006, 12.849599999999997, 17.275980000000004, 11.2686, 17.540474999999994, 14.3964, 17.016030000000004, 12.972299999999997, 17.250089999999997, 11.427899999999998, 17.522925000000004]"
"(""C7-equivalence_obligation"", ""Total_budget_per_net"")","[149.12908041187856, 138.04243746390597, 208.35455622963858, 183.59986769316225, 319.6317757302701, 262.0824070187758, 148.22120536656087, 138.26013019286987, 206.68022595054413, 184.50556430928845, 316.02988822395895, 264.50789587161347, 147.26815945222515, 138.24128769081716, 204.98402245253476, 184.91400653802808, 312.48882556308837, 265.8797879637688, 154.9127860304383, 136.9089463397339, 221.35577998796109, 179.2821434609179, 348.7589739667687, 250.45740676244023, 153.87461779357602, 137.2221750784516, 219.15813523309663, 180.37770184088635, 343.73525418584063, 252.56650472214034, 153.17117559629207, 137.62136370000502, 217.57132170359114, 181.3981572991379, 340.16687498578585, 254.78303421440407, 161.1003126522246, 135.7180952488867, 238.4602663393022, 176.09032749260336, 386.12513823341845, 243.9463454539344, 160.22412717695562, 136.03238729133344, 236.03658274275716, 176.80258133621865, 381.28953589121267, 245.32411234730003, 159.53795696965147, 136.3503790274777, 234.18064312085238, 177.59085970110732, 377.26066792083054, 246.6611682559286]"
"(""C1-no_removals"", ""Fraction_costs_abat"")","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"(""C8-rem_obl_gross"", ""Total_costs_per_net"")","[281.77173489266124, 244.11528975590807, 324.1112954410331, 280.61273568627786, 474.34568729634344, 396.35201311991744, 285.4236518979427, 247.32990288128553, 327.87960033461684, 283.9112104864632, 461.7581895103721, 389.21796960935274, 288.7955876258759, 250.3170686603728, 331.28453796854666, 286.92130390724674, 434.5176966742724, 372.30458706077223, 270.75608036658514, 234.53455130131013, 350.8021122503812, 295.7260134194766, 487.0742655393046, 401.2719618494878, 272.06652407809656, 235.6894967794359, 338.59945659201674, 288.1293865807971, 484.3732466549025, 399.9156961105024, 273.5554911668267, 236.9793794838704, 325.25432232387175, 279.6846223597333, 483.46536031390474, 399.78416841588546, 266.70310795675374, 231.071240458392, 366.41107549485304, 304.7626516076398, 503.5774574708626, 410.4165455498225, 267.45856213328506, 231.6911576103308, 365.97197601238236, 304.6156772033009, 499.47056269143127, 407.9723332155559, 267.72299037177675, 231.96243931463113, 365.50531700734535, 304.46693903076823, 496.3093745595825, 406.2055892972773]"
"(""C2-disconnected"", ""Total_costs_per_abat"")","[26.125467152613844, 26.125467152613844, 29.7310895131871, 29.7310895131871, 36.85649286069764, 36.85649286069764, 26.73720826267761, 26.73720826267761, 30.340580672239497, 30.340580672239497, 37.4733404263838, 37.4733404263838, 27.34460024828366, 27.34460024828366, 30.9299659652562, 30.9299659652562, 38.08192408935347, 38.08192408935347, 24.396640770261413, 24.396640770261413, 27.9872357325615, 27.9872357325615, 35.10591428272842, 35.10591428272842, 24.60451415734227, 24.60451415734227, 28.194695335922212, 28.194695335922212, 35.31186901457235, 35.31186901457235, 24.813223131359155, 24.813223131359155, 28.399327105466675, 28.399327105466675, 35.5173627577494, 35.5173627577494, 23.83610630466033, 23.83610630466033, 27.436295652525267, 27.436295652525267, 34.54619643344854, 34.54619643344854, 23.903843530056193, 23.903843530056193, 27.495559265838338, 27.495559265838338, 34.61787653224484, 34.61787653224484, 23.97581806212192, 23.97581806212192, 27.56569838881211, 27.56569838881211, 34.68355012345384, 34.68355012345384]"
"(""C6-removal_obligation"", ""Fraction_costs_rem"")","[0.07128250488088275, 0.07128250488088275, 0.09459993684662932, 0.09459993684662932, 0.12973493426357938, 0.12973493426357938, 0.06790670693728151, 0.06790670693728151, 0.08914896117896376, 0.08914896117896376, 0.12188209040808484, 0.12188209040808484, 0.06479508596428686, 0.06479508596428686, 0.08456577214144033, 0.08456577214144033, 0.11538356801323828, 0.11538356801323828, 0.08483762999091053, 0.08483762999091053, 0.12033554127634698, 0.12033554127634698, 0.16677022340048459, 0.16677022340048459, 0.08248316486547468, 0.08248316486547468, 0.11550776535321598, 0.11550776535321598, 0.1608256112192404, 0.1608256112192404, 0.08040842854778962, 0.08040842854778962, 0.11127321422673386, 0.11127321422673386, 0.15545500244908686, 0.15545500244908686, 0.09488926314127843, 0.09488926314127843, 0.14185473245056382, 0.14185473245056382, 0.19437483001805486, 0.19437483001805486, 0.09299348389663971, 0.09299348389663971, 0.1386616165777058, 0.1386616165777058, 0.1900664587289487, 0.1900664587289487, 0.09161268050946114, 0.09161268050946114, 0.13559850494147613, 0.13559850494147613, 0.18586270313604972, 0.18586270313604972]"
"(""C4-full_integration_gross_cap"", ""Emitter_cost_avg"")","[269.5666033907131, 269.5666033907131, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685, 269.5666033907131, 269.5666033907131, 378.4618963462767, 378.4618963462767, 593.2479163794685, 593.2479163794685, 269.5666033907131, 269.5666033907131, 378.4618963462767, 378.4618963462767, 593.2479163794685, 593.2479163794685, 269.57312787134094, 269.57312787134094, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685, 269.5666033907131, 269.5666033907131, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685, 269.5666033907131, 269.5666033907131, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685, 269.60071742259237, 269.60071742259237, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685, 269.5786657592278, 269.5786657592278, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685, 269.5947098207885, 269.5947098207885, 378.4579890888257, 378.4579890888257, 593.2479163794685, 593.2479163794685]"
"(""C7-equivalence_obligation"", ""Total_net_emissions"")","[16.1637, 17.46186, 15.392100000000001, 17.467410000000005, 14.3643, 17.518485, 16.314599999999995, 17.489999999999995, 15.631499999999999, 17.51016, 14.730599999999999, 17.59988999999999, 16.467899999999997, 17.543220000000005, 15.857400000000002, 17.578515000000003, 15.0663, 17.70744, 15.4065, 17.43249, 14.129999999999997, 17.44600499999999, 12.544199999999998, 17.467650000000003, 15.5487, 17.435595000000003, 14.360100000000003, 17.447460000000003, 12.832199999999998, 17.464229999999997, 15.6642, 17.434094999999992, 14.541900000000002, 17.441745, 13.080900000000002, 17.464620000000004, 14.697899999999999, 17.446724999999994, 12.879, 17.44065, 11.0352, 17.466825000000004, 14.8119, 17.44602, 13.062299999999993, 17.43855, 11.240099999999996, 17.469675, 14.9052, 17.439959999999996, 13.220699999999995, 17.433510000000002, 11.423099999999998, 17.471279999999997]"
"(""C2-disconnected"", ""Total_net_emissions"")","[13.925999999999998, 16.992974999999998, 13.952399999999995, 17.020814999999978, 14.007600000000002, 17.076600000000003, 13.9269, 16.99374, 13.942199999999985, 17.012145, 14.007300000000003, 17.076345, 13.925699999999999, 16.99272, 13.953599999999984, 17.020619999999983, 14.008200000000002, 17.07711, 13.920599999999995, 16.989059999999995, 13.948199999999995, 17.017244999999978, 14.006700000000002, 17.075835, 13.916399999999998, 16.984949999999998, 13.947899999999995, 17.01698999999998, 14.007600000000002, 17.076600000000006, 13.913399999999998, 16.98231, 13.948499999999996, 17.017499999999977, 14.0076, 17.076600000000003, 13.919999999999998, 16.987964999999996, 13.943099999999998, 17.012909999999977, 14.008500000000003, 17.077365000000004, 13.921499999999998, 16.98933, 13.950899999999997, 17.019539999999978, 14.006100000000002, 17.075325000000003, 13.917599999999998, 16.985834999999998, 13.949699999999996, 17.018519999999977, 14.0088, 17.077620000000003]"
"(""C3-full_integration_net_cap"", ""Total_emissions"")","[25.1295, 25.1295, 29.889, 29.889, 36.65969999999996, 36.65969999999996, 24.447299999999995, 24.447299999999995, 28.7673, 28.7673, 35.009100000000004, 35.009100000000004, 23.923499999999997, 23.923499999999997, 27.9087, 27.9087, 33.72119999999999, 33.72119999999999, 29.057399999999994, 29.057399999999994, 36.90090000000001, 36.90090000000001, 47.2239, 47.2239, 28.279799999999998, 28.279799999999998, 35.568599999999996, 35.568599999999996, 45.3987, 45.3987, 27.6342, 27.6342, 34.4751, 34.4751, 43.86690000000001, 43.86690000000001, 32.8029, 32.8029, 43.811099999999996, 43.811099999999996, 56.781299999999995, 56.781299999999995, 32.19539999999999, 32.19539999999999, 42.725699999999996, 42.725699999999996, 55.401300000000006, 55.401300000000006, 31.649700000000006, 31.649700000000006, 41.788500000000006, 41.788500000000006, 54.19110000000001, 54.19110000000001]"
"(""C8-rem_obl_gross"", ""ETS_price"")",Any[]
"(""C5-conditional_integration"", ""Learning_gains_per_em"")","[1.03169517078973, 1.03169517078973, 1.6183951076027778, 1.6183951076027778, 2.3622965648851997, 2.3622965648851997, 1.0317319056657461, 1.0317319056657461, 1.6184164220983657, 1.6184164220983657, 2.362569195489626, 2.362569195489626, 1.0317319056657461, 1.0317319056657461, 1.6184799806814882, 1.6184799806814882, 2.362786224653099, 2.362786224653099, 1.03169517078973, 1.03169517078973, 1.6183693131128507, 1.6183693131128507, 2.361820827852842, 2.361820827852842, 1.03169517078973, 1.03169517078973, 1.6183693131128507, 1.6183693131128507, 2.3618573073646276, 2.3618573073646276, 1.03169517078973, 1.03169517078973, 1.6183951076027778, 1.6183951076027778, 2.3618573073646276, 2.3618573073646276, 1.03169517078973, 1.03169517078973, 1.6183693131128507, 1.6183693131128507, 2.3618019652043345, 2.3618019652043345, 1.03169517078973, 1.03169517078973, 1.6183693131128507, 1.6183693131128507, 2.3618019652043345, 2.3618019652043345, 1.03169517078973, 1.03169517078973, 1.6183693131128507, 1.6183693131128507, 2.3618019652043345, 2.3618019652043345]"
"(""C5-conditional_integration"", ""Total_budget_per_net"")","[112.06893861589718, 112.06893861589718, -62.10132776557281, -62.10132776557281, -1121.2650699065334, -1121.2650699065334, 93.91606592768314, 93.91606592768314, -137.20507817417467, -137.20507817417467, -1328.461135526269, -1328.461135526269, 77.24919653079863, 77.24919653079863, -204.7870703560899, -204.7870703560899, -1483.0728629833768, -1483.0728629833768, 167.30680987319238, 167.30680987319238, 183.50530325119595, 183.50530325119595, -73.40804932298019, -73.40804932298019, 160.94456077242828, 160.94456077242828, 158.76357680472788, 158.76357680472788, -186.61583392465224, -186.61583392465224, 154.49707258213041, 154.49707258213041, 134.5721427896337, 134.5721427896337, -295.4735497318362, -295.4735497318362, 185.2199987652722, 185.2199987652722, 256.25028290294966, 256.25028290294966, 303.31132873841926, 303.31132873841926, 182.99204762348572, 182.99204762348572, 248.70266436246294, 248.70266436246294, 269.3404375811754, 269.3404375811754, 180.83419822796776, 180.83419822796776, 241.22809455915683, 241.22809455915683, 235.57274526578914, 235.57274526578914]"
"(""C7-equivalence_obligation"", ""Total_costs_per_net"")","[259.18650920225565, 239.91791131027847, 328.61708935366016, 289.5739609387122, 458.85337684327965, 376.2373036817923, 257.1653538320897, 239.88278339788505, 324.73501951849556, 289.89429323337777, 450.6845312671025, 377.20994598734325, 255.0292766148308, 239.397136008405, 320.9652062979028, 289.5394555426533, 443.09448938463345, 377.0050614552811, 269.9716625799841, 238.5957725797362, 351.3559920085714, 284.5728960344282, 504.311588920412, 362.16579984917445, 267.8217695749865, 238.8378686583734, 346.7871392988166, 285.42251989945447, 496.34902975170104, 364.7025960823797, 266.1527036921323, 239.13309989272747, 343.4168425426701, 286.3207427107353, 489.79390340800467, 366.852818503338, 281.85991864792425, 237.45137831285396, 381.209420543962, 281.503047603483, 557.7736675602183, 352.39054471894684, 279.8344763618639, 237.5831439161649, 376.43805547890383, 281.96993511972516, 549.5644632483067, 353.5932708168463, 278.23988281250513, 237.79992048702823, 372.4673396014619, 282.46055766561324, 542.5490999767829, 354.7303130591914]"
"(""C2-disconnected"", ""Learning_gains_per_em"")","[0.8657322828870534, 0.8657322828870534, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586, 0.8657322828870534, 0.8657322828870534, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586, 0.8657322828870534, 0.8657322828870534, 1.7194045184454543, 1.7194045184454543, 3.395216374991586, 3.395216374991586, 0.865545791399831, 0.865545791399831, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586, 0.8656834585194484, 0.8656834585194484, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586, 0.8657153092050446, 0.8657153092050446, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586, 0.8656990354051726, 0.8656990354051726, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586, 0.8656685709734196, 0.8656685709734196, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586, 0.8657322828870534, 0.8657322828870534, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586]"
"(""C0-social_optimal"", ""Total_emissions"")",Any[]
"(""C8-rem_obl_gross"", ""ETS_avg"")","[138.2968431348134, 138.2968431348134, 191.61876419470923, 191.61876419470923, 255.13120028768267, 255.13120028768267, 138.30188714180355, 138.30188714180355, 191.61913099480643, 191.61913099480643, 257.12711776865444, 257.12711776865444, 138.30022726724536, 138.30022726724536, 191.63342319261602, 191.63342319261602, 279.24179844471064, 279.24179844471064, 138.29363800631856, 138.29363800631856, 175.50304553927245, 175.50304553927245, 235.73579776049175, 235.73579776049175, 138.29363758687066, 138.29363758687066, 186.3727479222713, 186.3727479222713, 235.79209245169724, 235.79209245169724, 138.29363756589174, 138.29363756589174, 186.63272206881874, 186.63272206881874, 241.53544576011302, 241.53544576011302, 138.29363765423358, 138.29363765423358, 166.64345317865371, 166.64345317865371, 228.84684562569612, 228.84684562569612, 138.29363730263893, 138.29363730263893, 166.9639471320154, 166.9639471320154, 226.17297065543923, 226.17297065543923, 138.29363766730006, 138.29363766730006, 168.80534985621904, 168.80534985621904, 232.4000122000445, 232.4000122000445]"
"(""C2-disconnected"", ""ETS_max"")","[223.40400000000153, 223.40400000000153, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165, 223.40400000000054, 223.40400000000054, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165, 223.40399999999966, 223.40399999999966, 364.83000000001255, 364.83000000001255, 643.8750000000165, 643.8750000000165, 223.33500000000262, 223.33500000000262, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165, 223.38600000000238, 223.38600000000238, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165, 223.4010000000023, 223.4010000000023, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165, 223.38900000000237, 223.38900000000237, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165, 223.3830000000024, 223.3830000000024, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165, 223.40400000000224, 223.40400000000224, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165]"
"(""C5-conditional_integration"", ""Total_emissions"")","[26.475899999999996, 26.475899999999996, 36.275400000000005, 36.275400000000005, 53.91780000000001, 53.91780000000001, 26.475299999999997, 26.475299999999997, 36.2751, 36.2751, 53.9121, 53.9121, 26.475299999999997, 26.475299999999997, 36.2736, 36.2736, 53.90429999999999, 53.90429999999999, 26.475899999999996, 26.475899999999996, 36.2757, 36.2757, 53.9277, 53.9277, 26.475899999999996, 26.475899999999996, 36.2757, 36.2757, 53.9271, 53.9271, 26.475899999999996, 26.475899999999996, 36.275400000000005, 36.275400000000005, 53.9271, 53.9271, 26.475899999999996, 26.475899999999996, 36.2757, 36.2757, 53.928000000000004, 53.928000000000004, 26.475899999999996, 26.475899999999996, 36.2757, 36.2757, 53.928000000000004, 53.928000000000004, 26.475899999999996, 26.475899999999996, 36.2757, 36.2757, 53.928000000000004, 53.928000000000004]"
"(""C6-removal_obligation"", ""ETS_price"")",Any[]
"(""C2-disconnected"", ""ETS_avg"")","[161.1545639856949, 161.1545639856949, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356, 161.1545639856949, 161.1545639856949, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356, 161.15456398569486, 161.15456398569486, 249.5195995406599, 249.5195995406599, 423.96132846966356, 423.96132846966356, 161.15716212288146, 161.15716212288146, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356, 161.15589385973743, 161.15589385973743, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356, 161.155081078594, 161.155081078594, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356, 161.1554543377903, 161.1554543377903, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356, 161.15629517329523, 161.15629517329523, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356, 161.15456398569495, 161.15456398569495, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356]"
"(""C6-removal_obligation"", ""Total_emissions"")","[24.880200000000016, 24.880200000000016, 29.246700000000004, 29.246700000000004, 35.3094, 35.3094, 24.205199999999998, 24.205199999999998, 28.154700000000002, 28.154700000000002, 33.7281, 33.7281, 23.67929999999999, 23.67929999999999, 27.305400000000002, 27.305400000000002, 32.487, 32.487, 29.03579999999999, 29.03579999999999, 36.3894, 36.3894, 45.53279999999999, 45.53279999999999, 28.284599999999994, 28.284599999999994, 35.12969999999999, 35.12969999999999, 43.8831, 43.8831, 27.667200000000005, 27.667200000000005, 34.0854, 34.0854, 42.4815, 42.4815, 32.933099999999996, 32.933099999999996, 43.337999999999994, 43.337999999999994, 54.2307, 54.2307, 32.35979999999999, 32.35979999999999, 42.35880000000001, 42.35880000000001, 53.0811, 53.0811, 31.860599999999994, 31.860599999999994, 41.4909, 41.4909, 52.06139999999999, 52.06139999999999]"
"(""C6-removal_obligation"", ""ETS_avg"")","[196.26685400231858, 196.26685400231858, 279.6932080829549, 279.6932080829549, 412.38618066103425, 412.38618066103425, 199.5548221697379, 199.5548221697379, 287.54398301127856, 287.54398301127856, 428.80879262679014, 428.80879262679014, 202.153251337133, 202.153251337133, 293.9155698337057, 293.9155698337057, 442.4485675536411, 442.4485675536411, 176.70016850549985, 176.70016850549985, 235.02491663867164, 235.02491663867164, 325.9509210682379, 325.9509210682379, 179.81435331648734, 179.81435331648734, 241.67969486450198, 241.67969486450198, 337.6510619462983, 337.6510619462983, 182.51160385210233, 182.51160385210233, 247.43745462569086, 247.43745462569086, 348.0901540129015, 348.0901540129015, 161.66245561456165, 161.66245561456165, 203.63408910757715, 203.63408910757715, 275.01743152438274, 275.01743152438274, 163.60417100391768, 163.60417100391768, 207.5039822867747, 207.5039822867747, 280.78271421975234, 280.78271421975234, 165.38148344986217, 165.38148344986217, 211.00966080261784, 211.00966080261784, 286.07258782362334, 286.07258782362334]"
"(""C4-full_integration_gross_cap"", ""Total_emissions"")","[34.4079, 34.4079, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004, 34.4079, 34.4079, 34.40819999999999, 34.40819999999999, 34.467600000000004, 34.467600000000004, 34.4079, 34.4079, 34.40819999999999, 34.40819999999999, 34.467600000000004, 34.467600000000004, 34.40670000000001, 34.40670000000001, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004, 34.4079, 34.4079, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004, 34.4079, 34.4079, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004, 34.401900000000005, 34.401900000000005, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004, 34.405800000000006, 34.405800000000006, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004, 34.40310000000001, 34.40310000000001, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004]"
"(""C3-full_integration_net_cap"", ""ETS_avg"")","[194.62654405300304, 194.62654405300304, 274.8693097089675, 274.8693097089675, 398.91911631185724, 398.91911631185724, 197.97334717789414, 197.97334717789414, 282.92945988741326, 282.92945988741326, 415.4032302035215, 415.4032302035215, 200.57293559065096, 200.57293559065096, 289.38535520096724, 289.38535520096724, 429.0070574502964, 429.0070574502964, 175.46491106301661, 175.46491106301661, 231.23333776290778, 231.23333776290778, 314.2241551226325, 314.2241551226325, 178.64120696231902, 178.64120696231902, 237.97587464549204, 237.97587464549204, 326.26636239577863, 326.26636239577863, 181.38067210825912, 181.38067210825912, 243.8517479020087, 243.8517479020087, 336.91827541449493, 336.91827541449493, 160.68364009994872, 160.68364009994872, 200.39203853679825, 200.39203853679825, 262.4333036531667, 262.4333036531667, 162.6618776303248, 162.6618776303248, 204.35458835212, 204.35458835212, 268.7147802519217, 268.7147802519217, 164.44710920472698, 164.44710920472698, 207.97092654112384, 207.97092654112384, 274.49164382010963, 274.49164382010963]"
"(""C7-equivalence_obligation"", ""Total_costs_per_abat"")","[20.319014320813316, 20.319014320813316, 25.068367101762988, 25.068367101762988, 33.69552523462726, 33.69552523462726, 20.283113616133328, 20.283113616133328, 25.02461475390885, 25.02461475390885, 33.6756955246361, 33.6756955246361, 20.253326525790104, 20.253326525790104, 24.989989430610844, 24.989989430610844, 33.660695719906265, 33.660695719906265, 20.58183098230774, 20.58183098230774, 25.490737562369873, 25.490737562369873, 34.07902824142841, 34.07902824142841, 20.526639203983756, 20.526639203983756, 25.400191265546777, 25.400191265546777, 34.007857538778744, 34.007857538778744, 20.483152560716626, 20.483152560716626, 25.333738062553227, 25.333738062553227, 33.954099679162375, 33.954099679162375, 20.92544724121601, 20.92544724121601, 26.155218833230442, 26.155218833230442, 34.75768152916962, 34.75768152916962, 20.867626355613208, 20.867626355613208, 26.049356213288338, 26.049356213288338, 34.65847679090706, 34.65847679090706, 20.819759299349546, 20.819759299349546, 25.959079109391737, 25.959079109391737, 34.574033762635096, 34.574033762635096]"
"(""C1-no_removals"", ""Emitter_cost_avg"")","[512.9164689498992, 512.9164689498992, 887.9134390376737, 887.9134390376737, 1795.377899418134, 1795.377899418134, 512.9164689498992, 512.9164689498992, 887.9134390376737, 887.9134390376737, 1795.377899418134, 1795.377899418134, 512.9164689498992, 512.9164689498992, 887.9134390376737, 887.9134390376737, 1795.377899418134, 1795.377899418134, 512.9164689498992, 512.9164689498992, 887.9134390376737, 887.9134390376737, 1795.377899418134, 1795.377899418134, 512.9164689498992, 512.9164689498992, 887.9134390376737, 887.9134390376737, 1795.377899418134, 1795.377899418134, 512.9164689498992, 512.9164689498992, 887.9134390376737, 887.9134390376737, 1795.377899418134, 1795.377899418134, 512.9164689498992, 512.9164689498992, 887.9134390376737, 887.9134390376737, 1795.377899418134, 1795.377899418134, 512.9164689498992, 512.9164689498992, 887.9134390376737, 887.9134390376737, 1795.377899418134, 1795.377899418134, 512.9164689498992, 512.9164689498992, 887.9134390376737, 887.9134390376737, 1795.377899418134, 1795.377899418134]"
"(""C3-full_integration_net_cap"", ""ETS_max"")","[435.10047077689507, 435.10047077689507, 524.7060467736719, 524.7060467736719, 664.3047163942584, 664.3047163942584, 454.2134558805912, 454.2134558805912, 554.2256048640916, 554.2256048640916, 712.9057851953917, 712.9057851953917, 470.0508517804366, 470.0508517804366, 587.4149299755412, 587.4149299755412, 745.7352306952307, 745.7352306952307, 377.3070380641215, 377.3070380641215, 433.2299334976813, 433.2299334976813, 500.78618551747724, 500.78618551747724, 387.60679131615643, 387.60679131615643, 448.9083558683812, 448.9083558683812, 534.0656575659003, 534.0656575659003, 403.597837975969, 403.597837975969, 471.5653598931729, 471.5653598931729, 566.0534944904933, 566.0534944904933, 350.1747902652425, 350.1747902652425, 389.5351907705489, 389.5351907705489, 395.24770208476946, 395.24770208476946, 361.91050929304726, 361.91050929304726, 398.132927195337, 398.132927195337, 413.1369965952511, 413.1369965952511, 363.3003168101513, 363.3003168101513, 417.4217390709779, 417.4217390709779, 430.24043370819646, 430.24043370819646]"
"(""C1-no_removals"", ""Fraction_removals"")","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"(""C0-social_optimal"", ""Learning_gains_per_rem"")",Any[]
"(""C4-full_integration_gross_cap"", ""ETS_max"")","[222.9630000000037, 222.9630000000037, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165, 222.9630000000037, 222.9630000000037, 364.68600000001294, 364.68600000001294, 643.8750000000165, 643.8750000000165, 222.9630000000037, 222.9630000000037, 364.68600000001294, 364.68600000001294, 643.8750000000165, 643.8750000000165, 222.97200000000365, 222.97200000000365, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165, 222.9630000000037, 222.9630000000037, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165, 222.9630000000037, 222.9630000000037, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165, 223.01700000000355, 223.01700000000355, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165, 222.9810000000036, 222.9810000000036, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165, 223.00800000000356, 223.00800000000356, 364.677000000013, 364.677000000013, 643.8750000000165, 643.8750000000165]"
"(""C4-full_integration_gross_cap"", ""Learning_gains_per_rem"")","[0.8030529781531024, 0.8030529781531024, 7.028484064995226, 7.028484064995224, 30.303434254609503, 30.303434254609503, 0.7481157396121672, 0.7481157396121672, 6.65863416814841, 6.658634168148409, 32.10682770600153, 32.10682770600153, 0.704417326405809, 0.7044173264058089, 6.347343900678957, 6.347343900678954, 31.61599992118532, 31.61599992118531, 3.936070042381797, 3.9360700423817967, 27.4035661165493, 27.4035661165493, 48.909637298251916, 48.90963729825191, 3.607237833784703, 3.6072378337847035, 28.978424068060225, 28.97842406806023, 58.70550692218462, 58.70550692218462, 3.332711080653358, 3.332711080653358, 29.59257760887208, 29.59257760887208, 67.84735914764515, 67.84735914764515, 8.6611815532528, 8.6611815532528, 40.88681383857644, 40.886813838576444, 58.45066054523091, 58.45066054523091, 9.880171839088213, 9.880171839088213, 48.62587745225337, 48.62587745225337, 69.90457040998355, 69.90457040998355, 10.836337870197223, 10.836337870197221, 55.35584694971062, 55.35584694971062, 81.8050550411258, 81.8050550411258]"
"(""C0-social_optimal"", ""RC_max"")",Any[]
