first,second
"(""C0-social_optimal"", ""Learning_gains_per_em"")",Any[]
"(""C3-full_integration_net_cap"", ""RC_max"")","[435.1005292228127, 435.1005292228127, 524.7059532263523, 524.7059532263523, 664.3046533795549, 664.3046533795549, 454.21054411935916, 454.21054411935916, 554.2263951359358, 554.2263951359358, 712.9072148046013, 712.9072148046013, 470.0510878148562, 470.0510878148562, 587.4150700180145, 587.4150700180145, 745.7357693057547, 745.7357693057547, 380.0, 380.0, 433.2270664558526, 433.2270664558526, 500.787814471955, 500.787814471955, 387.607865831271, 387.607865831271, 448.9081683001765, 448.9081683001765, 534.0663424330505, 534.0663424330505, 403.59416202401724, 403.59416202401724, 471.56264010657935, 471.56264010657935, 566.0535055083478, 566.0535055083478, 380.0, 380.0, 389.52888889554214, 389.52888889554214, 395.2462977995885, 395.2462977995885, 380.0, 380.0, 398.1330727467757, 398.1330727467757, 413.13800338785967, 413.13800338785967, 380.0, 380.0, 417.4225129129433, 417.4225129129433, 430.24356629083655, 430.24356629083655]"
"(""C5-conditional_integration"", ""Fraction_costs_rem"")","[0.05419724414196173, 0.05419724414196173, 0.14947745098198215, 0.14947745098198215, 0.3253623496591836, 0.3253623496591836, 0.056007084539839644, 0.056007084539839644, 0.15850811342525514, 0.15850811342525514, 0.3431069531790071, 0.3431069531790071, 0.0573295943983701, 0.0573295943983701, 0.16593157953781687, 0.16593157953781687, 0.35717139778860174, 0.35717139778860174, 0.04711376754999913, 0.04711376754999913, 0.11549450294422811, 0.11549450294422811, 0.23907391654644045, 0.23907391654644045, 0.048008970901026286, 0.048008970901026286, 0.12000912407048187, 0.12000912407048187, 0.25070721832814014, 0.25070721832814014, 0.04912751465849042, 0.04912751465849042, 0.12416766136985602, 0.12416766136985602, 0.26152200307378615, 0.26152200307378615, 0.04395671360617079, 0.04395671360617079, 0.10249480842174578, 0.10249480842174578, 0.19935491928521193, 0.19935491928521193, 0.0445151595336085, 0.0445151595336085, 0.10405588321992441, 0.10405588321992441, 0.203988475018767, 0.203988475018767, 0.04501957346248328, 0.04501957346248328, 0.10573078942777087, 0.10573078942777087, 0.20808914863933262, 0.20808914863933262]"
"(""C6-removal_obligation"", ""Total_budget_per_net"")","[157.6001588415297, 144.3595559123388, 219.22823281694488, 191.1420328050254, 336.09232557760083, 273.002308794531, 157.5240386620911, 145.38790546847702, 219.16392757084603, 193.53160071823103, 336.52919406501337, 278.6830869826527, 157.91240158915858, 146.64790410461688, 219.56740415135627, 195.8467903115931, 337.72854587612994, 284.0206460749503, 161.36801546068065, 141.03788298452025, 228.01353747170847, 182.72567446926936, 353.885012247392, 252.6418628910189, 160.54611909002455, 141.5053008773407, 226.38008282417746, 184.18971501351098, 349.9376309826571, 255.27877180635735, 159.97359459275148, 141.99190913537464, 225.21024806108392, 185.53513525344005, 347.2334130116026, 257.8519064543293, 166.50470818782614, 139.0710405394635, 241.57313693579593, 177.40857470771635, 383.60580897903446, 242.5426287117287, 165.88027293515816, 139.51965884179728, 239.48445311076486, 178.12473901290016, 379.98185520721745, 244.11331697619656, 165.2556144561969, 139.81439430685023, 237.85886591830652, 178.8730705956924, 376.75392631084486, 245.70704916489126]"
"(""C7-equivalence_obligation"", ""ETS_max"")","[438.99010778522063, 438.99010778522063, 542.6894513104858, 542.6894513104858, 694.8588464983044, 694.8588464983044, 463.87160216358353, 463.87160216358353, 573.5305094193054, 573.5305094193054, 736.8019579660352, 736.8019579660352, 480.1012182961166, 480.1012182961166, 598.7489938720558, 598.7489938720558, 771.8534021409972, 771.8534021409972, 364.74767965960837, 364.74767965960837, 427.53630127087195, 427.53630127087195, 513.3669721556502, 513.3669721556502, 385.31780945346253, 385.31780945346253, 446.1982190927419, 446.1982190927419, 546.0916784332079, 546.0916784332079, 392.7817535888479, 392.7817535888479, 467.4207358626796, 467.4207358626796, 572.4363552010658, 572.4363552010658, 333.1755241921477, 333.1755241921477, 364.8060728880548, 364.8060728880548, 402.43466861467806, 402.43466861467806, 337.5222405013941, 337.5222405013941, 381.9545593797467, 381.9545593797467, 418.70902431793445, 418.70902431793445, 343.9645556412933, 343.9645556412933, 387.1831851217166, 387.1831851217166, 434.01022390274153, 434.01022390274153]"
"(""C1-no_removals"", ""Total_emissions"")","[17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435]"
"(""C3-full_integration_net_cap"", ""Total_net_emissions"")","[17.458200000000005, 18.60889499999999, 17.466, 19.32945, 17.485199999999985, 20.361374999999992, 17.4807, 18.525689999999997, 17.49299999999999, 19.184145, 17.55570000000001, 20.17371, 17.529899999999987, 18.48894, 17.559, 19.11145500000001, 17.64689999999999, 20.058045, 17.4282, 19.172579999999993, 17.440800000000003, 20.359815, 17.466300000000004, 21.929939999999995, 17.437199999999997, 19.063589999999998, 17.4384, 20.15793, 17.457600000000003, 21.648764999999997, 17.433299999999996, 18.963434999999997, 17.43480000000001, 19.99084499999999, 17.454600000000003, 21.416445, 17.4477, 19.750979999999995, 17.437199999999997, 21.393285000000002, 17.426099999999998, 23.329379999999997, 17.447400000000002, 19.659599999999998, 17.4285, 21.223080000000003, 17.416499999999996, 23.11422, 17.444699999999997, 19.575450000000004, 17.4411, 21.093209999999996, 17.4153, 22.931669999999997]"
"(""C8-rem_obl_gross"", ""Fraction_costs_abat"")","[0.7819588771907117, 0.7819588771907117, 0.8102011622966543, 0.8102011622966543, 0.8249023189682934, 0.8249023189682934, 0.771353080123184, 0.771353080123184, 0.8005059700678713, 0.8005059700678713, 0.822127704428134, 0.822127704428134, 0.7615924204748372, 0.7615924204748372, 0.7916324145378819, 0.7916324145378819, 0.8235170090746728, 0.8235170090746728, 0.8142628309521718, 0.8142628309521718, 0.8251948892718273, 0.8251948892718273, 0.8439587460855426, 0.8439587460855426, 0.8100825295536382, 0.8100825295536382, 0.8267724611229704, 0.8267724611229704, 0.8417089342790368, 0.8417089342790368, 0.8056732368704034, 0.8056732368704034, 0.8283168847445181, 0.8283168847445181, 0.8391414160522871, 0.8391414160522871, 0.8259930347841924, 0.8259930347841924, 0.8276910929459392, 0.8276910929459392, 0.8467462000107712, 0.8467462000107712, 0.8241267586170505, 0.8241267586170505, 0.8265543411856408, 0.8265543411856408, 0.8468848949703307, 0.8468848949703307, 0.8227444998137227, 0.8227444998137227, 0.8256536119759382, 0.8256536119759382, 0.8470468393642022, 0.8470468393642022]"
"(""C4-full_integration_gross_cap"", ""Fraction_removals"")","[0.9750202715074152, 0.9787672307813026, 0.7828850429399714, 0.8154522864989756, 0.5072154719214566, 0.581133151133238, 0.9813066185381845, 0.9841106257574564, 0.8311332763701674, 0.8564632849146424, 0.531081363367336, 0.6014191588622361, 0.9852475739583061, 0.9874604378645597, 0.8637069070744763, 0.884150871013305, 0.5672631688890438, 0.6321736935556872, 0.9191465615708565, 0.931274577335228, 0.5682374994550762, 0.6330018745368147, 0.4788845176339518, 0.5570518399888591, 0.9406851333560022, 0.949582363352602, 0.5939578883124808, 0.6548642050656092, 0.48475089649409875, 0.5620382620199839, 0.9543476934076185, 0.9611955393964754, 0.6206809363965297, 0.6775787959370504, 0.4902168993489538, 0.5666843644466107, 0.8427179894133752, 0.8663102910013686, 0.5250969963817076, 0.5963324469244515, 0.4664989729485081, 0.5465241270062319, 0.8577594475350084, 0.8790955304047566, 0.5318191725881681, 0.6020462966999429, 0.47130348501201125, 0.5506079622602096, 0.8714999520392054, 0.8907749592333242, 0.539369632503596, 0.6084641876280567, 0.4748111269714166, 0.5535894579257041]"
"(""C7-equivalence_obligation"", ""Fraction_costs_rem"")","[0.0389795633874749, 0.0389795633874749, 0.07019362242112787, 0.07019362242112787, 0.1149020906028872, 0.1149020906028872, 0.036035939101936865, 0.036035939101936865, 0.06487339591562447, 0.06487339591562447, 0.10670498464391424, 0.10670498464391424, 0.033458021875662707, 0.033458021875662707, 0.06040917795082461, 0.06040917795082461, 0.09997166937670929, 0.09997166937670929, 0.05101665739314512, 0.05101665739314512, 0.09404039338900894, 0.09404039338900894, 0.15066807953507302, 0.15066807953507302, 0.04831672738371755, 0.04831672738371755, 0.08873944714380147, 0.08873944714380147, 0.1442472193473233, 0.1442472193473233, 0.04583398846086007, 0.04583398846086007, 0.08433073647480299, 0.08433073647480299, 0.13825598429191668, 0.13825598429191668, 0.06201661864074407, 0.06201661864074407, 0.11688839956245693, 0.11688839956245693, 0.17861060724009284, 0.17861060724009284, 0.05967297193330003, 0.05967297193330003, 0.11264984371775065, 0.11264984371775065, 0.17358750353166486, 0.17358750353166486, 0.057655925282413985, 0.057655925282413985, 0.10867671281414253, 0.10867671281414253, 0.16901820813799665, 0.16901820813799665]"
